0.010000 0.010000 0.000000 0.000000 0.000000 0.000000
0.010000 0.020000 0.000000 0.000000 0.000000 0.000000
0.010000 0.030000 0.000000 0.000000 0.000000 0.000000
0.010000 0.040000 0.000000 0.000000 0.000000 0.000000
0.010000 0.050000 0.000000 0.000000 0.000000 0.000000
0.010000 0.060000 0.000000 0.000000 0.000000 0.000000
0.010000 0.070000 0.000000 0.000000 0.000000 0.000000
0.010000 0.080000 0.000000 0.000000 0.000000 0.000000
0.010000 0.090000 0.000000 0.000000 0.000000 0.000000
0.010000 0.100000 0.000000 0.000000 0.000000 0.000000
0.010000 0.110000 0.000000 0.000000 0.000000 0.000000
0.010000 0.120000 0.000000 0.000000 0.000000 0.000000
0.010000 0.130000 0.000000 0.000000 0.000000 0.000000
0.010000 0.140000 0.000000 0.000000 0.000000 0.000000
0.010000 0.150000 0.000000 0.000000 0.000000 0.000000
0.010000 0.160000 0.000000 0.000000 0.000000 0.000000
0.010000 0.170000 0.000000 0.000000 0.000000 0.000000
0.010000 0.180000 0.000000 0.000000 0.000000 0.000000
0.010000 0.190000 0.000000 0.000000 0.000000 0.000000
0.010000 0.200000 0.000000 0.000000 0.000000 0.000000
0.010000 0.210000 0.000000 0.000000 0.000000 0.000000
0.010000 0.220000 0.000000 0.000000 0.000000 0.000000
0.010000 0.230000 0.000000 0.000000 0.000000 0.000000
0.010000 0.240000 0.000000 0.000000 0.000000 0.000000
0.010000 0.250000 0.000000 0.000000 0.000000 0.000000
0.010000 0.260000 0.000000 0.000000 0.000000 0.000000
0.010000 0.270000 0.000000 0.000000 0.000000 0.000000
0.010000 0.280000 0.000000 0.000000 0.000000 0.000000
0.010000 0.290000 0.000000 0.000000 0.000000 0.000000
0.010000 0.300000 0.000000 0.000000 0.000000 0.000000
0.010000 0.310000 0.000000 0.000000 0.000000 0.000000
0.010000 0.320000 0.000000 0.000000 0.000000 0.000000
0.010000 0.330000 0.000000 0.000000 0.000000 0.000000
0.010000 0.340000 0.000000 0.000000 0.000000 0.000000
0.010000 0.350000 0.000000 0.000000 0.000000 0.000000
0.010000 0.360000 0.000000 0.000000 0.000000 0.000000
0.010000 0.370000 0.000000 0.000000 0.000000 0.000000
0.010000 0.380000 0.000000 0.000000 0.000000 0.000000
0.010000 0.390000 0.000000 0.000000 0.000000 0.000000
0.010000 0.400000 0.000000 0.000000 0.000000 0.000000
0.010000 0.410000 0.000000 0.000000 0.000000 0.000000
0.010000 0.420000 0.000000 0.000000 0.000000 0.000000
0.010000 0.430000 0.000000 0.000000 0.000000 0.000000
0.010000 0.440000 0.000000 0.000000 0.000000 0.000000
0.010000 0.450000 0.000000 0.000000 0.000000 0.000000
0.010000 0.460000 0.000000 0.000000 0.000000 0.000000
0.010000 0.470000 0.000000 0.000000 0.000000 0.000000
0.010000 0.480000 0.000000 0.000000 0.000000 0.000000
0.010000 0.490000 0.000000 0.000000 0.000000 0.000000
0.010000 0.500000 0.000000 0.000000 0.000000 0.000000
0.010000 0.510000 0.000000 0.000000 0.000000 0.000000
0.010000 0.520000 0.000000 0.000000 0.000000 0.000000
0.010000 0.530000 0.000000 0.000000 0.000000 0.000000
0.010000 0.540000 0.000000 0.000000 0.000000 0.000000
0.010000 0.550000 -54.197917 173.028193 0.000000 0.000000
0.010000 0.560000 -54.189265 164.226072 1.687752 -0.005327
0.010000 0.570000 -54.164162 154.642608 3.284702 -0.007711
0.010000 0.580000 -54.123571 144.810027 4.783826 -0.008810
0.010000 0.590000 -54.068485 134.887348 6.183526 -0.009343
0.010000 0.600000 -53.999901 124.927592 7.483400 -0.009609
0.010000 0.610000 -53.918817 114.950635 8.683333 -0.009735
0.010000 0.620000 -53.826234 104.964838 9.783285 -0.009775
0.010000 0.630000 -53.723151 94.974108 10.783241 -0.009752
0.010000 0.640000 -53.610569 84.980444 11.683193 -0.009672
0.010000 0.650000 -53.489488 74.984953 12.483139 -0.009533
0.010000 0.660000 -53.360906 64.988288 13.183077 -0.009331
0.010000 0.670000 -53.225826 54.990854 13.783006 -0.009058
0.010000 0.680000 -53.085246 44.992917 14.282928 -0.008707
0.010000 0.690000 -52.940167 34.994660 14.682844 -0.008273
0.010000 0.700000 -52.791589 24.996213 14.982755 -0.007750
0.010000 0.710000 -52.640512 14.997674 15.182663 -0.007134
0.010000 0.720000 -52.487936 4.999125 15.282571 -0.006424
0.010000 0.730000 -52.334861 -4.999368 15.282481 -0.005622
0.010000 0.740000 -52.182287 -14.997736 15.182395 -0.004730
0.010000 0.750000 -52.031213 -24.995912 14.982317 -0.003756
0.010000 0.760000 -51.882640 -34.993817 14.682248 -0.002707
0.010000 0.770000 -51.737568 -44.991354 14.282192 -0.001596
0.010000 0.780000 -51.596996 -54.988394 13.782151 -0.000436
0.010000 0.790000 -51.461925 -64.984760 13.182127 0.000754
0.010000 0.800000 -51.333354 -74.980192 12.482123 0.001955
0.010000 0.810000 -51.212283 -84.974292 11.682141 0.003145
0.010000 0.820000 -51.099711 -94.966419 10.782185 0.004296
0.010000 0.830000 -50.996639 -104.955482 9.782259 0.005376
0.010000 0.840000 -50.904066 -114.939499 8.682368 0.006347
0.010000 0.850000 -50.822992 -124.914587 7.482529 0.007153
0.010000 0.860000 -50.754415 -134.872410 6.182779 0.007709
0.010000 0.870000 -50.699336 -144.793120 4.783230 0.007857
0.010000 0.880000 -50.658751 -154.623718 3.284284 0.007272
0.010000 0.890000 -50.633650 -164.205197 1.687533 0.005213

0.020000 0.010000 0.000000 0.000000 0.000000 0.000000
